erroryaw	steer	speed
-1.74	0.66665	0.33335
-1.73	0.66665	0.33335
-1.72	0.66665	0.33335
-1.71	0.66665	0.33335
-1.7	0.66665	0.33335
-1.69	0.66665	0.33335
-1.68	0.66665	0.33335
-1.67	0.66665	0.33335
-1.66	0.66665	0.33335
-1.65	0.66665	0.33335
-1.64	0.66665	0.33335
-1.63	0.66665	0.33335
-1.62	0.66665	0.33335
-1.61	0.66665	0.33335
-1.6	0.66665	0.33335
-1.59	0.66665	0.33335
-1.58	0.66665	0.33335
-1.57	0.66665	0.33335
-1.56	0.66665	0.33335
-1.55	0.66665	0.33335
-1.54	0.66665	0.33335
-1.53	0.66665	0.33335
-1.52	0.66665	0.33335
-1.51	0.66665	0.33335
-1.5	0.66665	0.33335
-1.49	0.66665	0.33335
-1.48	0.66665	0.33335
-1.47	0.66665	0.33335
-1.46	0.66665	0.33335
-1.45	0.66665	0.33335
-1.44	0.66665	0.33335
-1.43	0.66665	0.33335
-1.42	0.66665	0.33335
-1.41	0.66665	0.33335
-1.4	0.66665	0.33335
-1.39	0.66665	0.33335
-1.38	0.66665	0.33335
-1.37	0.66665	0.33335
-1.36	0.66665	0.33335
-1.35	0.66665	0.33335
-1.34	0.66665	0.33335
-1.33	0.66665	0.33335
-1.32	0.66665	0.33335
-1.31	0.66665	0.33335
-1.3	0.66665	0.33335
-1.29	0.66665	0.33335
-1.28	0.66665	0.33335
-1.27	0.66665	0.33335
-1.26	0.66665	0.33335
-1.25	0.66665	0.33335
-1.24	0.66665	0.33335
-1.23	0.66665	0.33335
-1.22	0.66665	0.33335
-1.21	0.66665	0.33335
-1.2	0.66665	0.33335
-1.19	0.66665	0.33335
-1.18	0.66665	0.33335
-1.17	0.66665	0.33335
-1.16	0.66665	0.33335
-1.15	0.66665	0.33335
-1.14	0.66665	0.33335
-1.13	0.66665	0.33335
-1.12	0.66665	0.33335
-1.11	0.66665	0.33335
-1.1	0.66665	0.33335
-1.09	0.66665	0.33335
-1.08	0.66665	0.33335
-1.07	0.66665	0.33335
-1.06	0.66665	0.33335
-1.05	0.66665	0.33335
-1.04	0.66665	0.33335
-1.03	0.66665	0.33335
-1.02	0.66665	0.33335
-1.01	0.66665	0.33335
-1	0.66665	0.33335
-0.99	0.666583	0.33335
-0.98	0.666381	0.33335
-0.97	0.666042	0.33335
-0.96	0.665564	0.33335
-0.95	0.664945	0.33335
-0.94	0.664184	0.33335
-0.93	0.663279	0.33335
-0.92	0.66223	0.33335
-0.91	0.661035	0.33335
-0.9	0.659692	0.33335
-0.89	0.658202	0.33335
-0.88	0.656563	0.333354
-0.87	0.654775	0.333373
-0.86	0.652838	0.335217
-0.85	0.650751	0.3383
-0.84	0.648514	0.342033
-0.83	0.646129	0.346184
-0.82	0.643595	0.350592
-0.81	0.640912	0.355156
-0.8	0.638083	0.359802
-0.79	0.635109	0.364491
-0.78	0.631989	0.369166
-0.77	0.628728	0.3738
-0.76	0.625325	0.378368
-0.75	0.621785	0.38286
-0.74	0.618108	0.387261
-0.73	0.614298	0.391563
-0.72	0.610358	0.395752
-0.71	0.606291	0.399836
-0.7	0.602101	0.4038
-0.69	0.597792	0.407642
-0.68	0.593367	0.411381
-0.67	0.58883	0.414994
-0.66	0.584188	0.41851
-0.65	0.579443	0.421898
-0.64	0.574602	0.425198
-0.63	0.56967	0.428381
-0.62	0.564652	0.431484
-0.61	0.559554	0.434505
-0.6	0.554382	0.437402
-0.59	0.549141	0.440205
-0.58	0.543839	0.442871
-0.57	0.538482	0.445455
-0.56	0.533076	0.447931
-0.55	0.527628	0.450308
-0.54	0.522145	0.452613
-0.53	0.516633	0.454803
-0.52	0.511101	0.456923
-0.51	0.505554	0.458972
-0.5	0.5	0.460919
-0.49	0.494446	0.46281
-0.48	0.488899	0.464631
-0.47	0.483367	0.466367
-0.46	0.477855	0.468054
-0.45	0.472372	0.469673
-0.44	0.466924	0.47122
-0.43	0.461518	0.472725
-0.42	0.456161	0.474167
-0.41	0.450859	0.475545
-0.4	0.445618	0.476887
-0.39	0.440446	0.478171
-0.38	0.435348	0.479398
-0.37	0.43033	0.480593
-0.36	0.425398	0.481735
-0.35	0.420557	0.482826
-0.34	0.415812	0.48389
-0.33	0.41117	0.484904
-0.32	0.406633	0.485872
-0.31	0.402208	0.486817
-0.3	0.397899	0.487713
-0.29	0.393709	0.48857
-0.28	0.389642	0.489408
-0.27	0.385702	0.490193
-0.26	0.381892	0.490951
-0.25	0.378215	0.491689
-0.24	0.374675	0.492372
-0.23	0.371272	0.493039
-0.22	0.368011	0.493673
-0.21	0.364891	0.494271
-0.2	0.361917	0.494855
-0.19	0.359088	0.495389
-0.18	0.356405	0.495909
-0.17	0.353871	0.496393
-0.16	0.351486	0.496853
-0.15	0.349249	0.497283
-0.14	0.347162	0.497686
-0.13	0.345225	0.498059
-0.12	0.343437	0.498408
-0.11	0.341798	0.498719
-0.1	0.340308	0.49901
-0.09	0.338965	0.499263
-0.08	0.33777	0.499483
-0.07	0.336721	0.499671
-0.06	0.335816	0.499821
-0.05	0.335055	0.49993
-0.04	0.334436	0.499991
-0.03	0.333958	0.5
-0.02	0.333619	0.5
-0.01	0.333417	0.5
-2.27839e-14	0.33335	0.5
0.01	0.333417	0.5
0.02	0.333619	0.5
0.03	0.333958	0.5
0.04	0.334436	0.500009
0.05	0.335055	0.50007
0.06	0.335816	0.500179
0.07	0.336721	0.500329
0.08	0.33777	0.500517
0.09	0.338965	0.500737
0.1	0.340308	0.50099
0.11	0.341798	0.501281
0.12	0.343437	0.501592
0.13	0.345225	0.501941
0.14	0.347162	0.502314
0.15	0.349249	0.502717
0.16	0.351486	0.503147
0.17	0.353871	0.503607
0.18	0.356405	0.504091
0.19	0.359088	0.504611
0.2	0.361917	0.505145
0.21	0.364891	0.505729
0.22	0.368011	0.506327
0.23	0.371272	0.506961
0.24	0.374675	0.507628
0.25	0.378215	0.508311
0.26	0.381892	0.509049
0.27	0.385702	0.509807
0.28	0.389642	0.510592
0.29	0.393709	0.51143
0.3	0.397899	0.512287
0.31	0.402208	0.513183
0.32	0.406633	0.514128
0.33	0.41117	0.515096
0.34	0.415812	0.51611
0.35	0.420557	0.517174
0.36	0.425398	0.518265
0.37	0.43033	0.519407
0.38	0.435348	0.520602
0.39	0.440446	0.521829
0.4	0.445618	0.523113
0.41	0.450859	0.524455
0.42	0.456161	0.525833
0.43	0.461518	0.527275
0.44	0.466924	0.52878
0.45	0.472372	0.530327
0.46	0.477855	0.531946
0.47	0.483367	0.533633
0.48	0.488899	0.535369
0.49	0.494446	0.53719
0.5	0.5	0.539081
0.51	0.505554	0.541028
0.52	0.511101	0.543077
0.53	0.516633	0.545197
0.54	0.522145	0.547387
0.55	0.527628	0.549692
0.56	0.533076	0.552069
0.57	0.538482	0.554545
0.58	0.543839	0.557129
0.59	0.549141	0.559795
0.6	0.554382	0.562598
0.61	0.559554	0.565495
0.62	0.564652	0.568516
0.63	0.56967	0.571619
0.64	0.574602	0.574802
0.65	0.579443	0.578102
0.66	0.584188	0.58149
0.67	0.58883	0.585006
0.68	0.593367	0.588619
0.69	0.597792	0.592358
0.7	0.602101	0.5962
0.71	0.606291	0.600164
0.72	0.610358	0.604248
0.73	0.614298	0.608437
0.74	0.618108	0.612739
0.75	0.621785	0.61714
0.76	0.625325	0.621632
0.77	0.628728	0.6262
0.78	0.631989	0.630834
0.79	0.635109	0.635509
0.8	0.638083	0.640198
0.81	0.640912	0.644844
0.82	0.643595	0.649408
0.83	0.646129	0.653816
0.84	0.648514	0.657967
0.85	0.650751	0.6617
0.86	0.652838	0.664783
0.87	0.654775	0.666627
